Asteroids	platforms	Arcade, [[#Ports
Vegas Stakes	platforms	Game Boy
Grand Prix	platforms	Atari 2600
Par railway station	platforms	3
Southern Belle	platforms	Acorn Electron
Southern Belle	platforms	Amstrad CPC
Southern Belle	platforms	Amstrad PCW
Southern Belle	platforms	BBC Micro
Southern Belle	platforms	Commodore 64
Southern Belle	platforms	ZX Spectrum
Hucknall station	platforms	National Rail – 1
Hucknall station	platforms	Nottingham Express Transit – 2
Chester Northgate railway station	platforms	2
Urapopstar	platforms	Web browser
Alien vs Predator	platforms	Atari Jaguar
Alien Swarm	platforms	Microsoft Windows
Alien Swarm	platforms	Linux
Alien Swarm	platforms	Apple Macintosh
Bulwell station	platforms	National Rail - 1
Bulwell station	platforms	Nottingham Express Transit - 2
Chester railway station	platforms	7
Armored Core	platforms	PlayStation
Armored Core: Project Phantasma	platforms	PlayStation
Armored Core: Project Phantasma	platforms	PlayStation Network
Armored Core 2: Another Age	platforms	PlayStation 2
Armored Core: Master of Arena	platforms	PlayStation
Armored Core: Master of Arena	platforms	PlayStation Network
Armored Core 2	platforms	PlayStation 2
Armored Core: Nexus	platforms	PlayStation 2
Armored Core 3	platforms	PlayStation 2
Armored Core 3	platforms	PlayStation Portable
Silent Line: Armored Core	platforms	PlayStation 2
Silent Line: Armored Core	platforms	PlayStation Portable
Armored Core: Formula Front	platforms	PlayStation Portable
Armored Core: Formula Front	platforms	PlayStation 2
Armored Core: Nine Breaker	platforms	PlayStation 2
Armored Core: Last Raven	platforms	PlayStation 2
Armored Core: Last Raven	platforms	PlayStation Portable
Digimon World 2	platforms	PlayStation
Armored Core 4	platforms	PlayStation 3
Armored Core 4	platforms	Xbox 360
Longcross railway station	platforms	2
Whitland railway station	platforms	3
Fear Effect 2: Retro Helix	platforms	PlayStation
Bootle New Strand railway station	platforms	2
Lunar Legend	platforms	Game Boy Advance
Whitchurch	platforms	1
Rhiwbina railway station	platforms	1
Birchgrove railway station	platforms	1
Scarface: The World Is Yours	platforms	PlayStation 2
Scarface: The World Is Yours	platforms	Xbox
Scarface: The World Is Yours	platforms	Microsoft Windows
Scarface: The World Is Yours	platforms	Wii
Dakar 2: The World's Ultimate Rally	platforms	PlayStation 2
Dakar 2: The World's Ultimate Rally	platforms	Nintendo GameCube
Dakar 2: The World's Ultimate Rally	platforms	Xbox
St Helens Junction railway station	platforms	2
St Helens Central railway station	platforms	2
Risky Woods	platforms	Amiga
Risky Woods	platforms	Atari ST
Risky Woods	platforms	MS-DOS
Risky Woods	platforms	Genesis
Future Cop: LAPD	platforms	PlayStation
Future Cop: LAPD	platforms	Microsoft Windows
Future Cop: LAPD	platforms	Mac OS
Future Cop: LAPD	platforms	PlayStation Network
Metro-Cross	platforms	Arcade game
Metro-Cross	platforms	Amstrad CPC
Metro-Cross	platforms	Atari ST
Metro-Cross	platforms	Commodore 64
Metro-Cross	platforms	Famicom
Metro-Cross	platforms	Sinclair ZX Spectrum
Teenage Mutant Ninja Turtles: Tournament Fighters	platforms	Nintendo Entertainment System
Teenage Mutant Ninja Turtles: Tournament Fighters	platforms	Super Nintendo Entertainment System
Teenage Mutant Ninja Turtles: Tournament Fighters	platforms	Sega Mega Drive
Brute Force	platforms	Xbox
Tonic Trouble	platforms	Microsoft Windows
Tonic Trouble	platforms	Nintendo 64
Tonic Trouble	platforms	Game Boy Color
Virtua Fighter 5	platforms	Arcade game
Virtua Fighter 5	platforms	PlayStation 3
Virtua Fighter 5	platforms	Xbox 360
FlatOut 2	platforms	Microsoft Windows
FlatOut 2	platforms	OS X
FlatOut 2	platforms	PlayStation 2
FlatOut 2	platforms	Xbox
FlatOut 2	platforms	Linux
Hawarden Bridge railway station	platforms	2
Frogger Beyond	platforms	GameCube
Frogger Beyond	platforms	Xbox
Frogger Beyond	platforms	Microsoft Windows
Frogger Beyond	platforms	PlayStation 2
Beach Spikers	platforms	Arcade game
Beach Spikers	platforms	GameCube
Club Caribe	platforms	Commodore 64
Lunar: Samposuru Gakuen	platforms	Game Gear
Sleepwalker	platforms	Amiga
Sleepwalker	platforms	Amiga CD32
Sleepwalker	platforms	Commodore 64
Sleepwalker	platforms	Atari ST
Sleepwalker	platforms	IBM PC clone
Sleepwalker	platforms	DOS
Sleepwalker	platforms	Super Nintendo Entertainment System
Hoyle Casino	platforms	Microsoft Windows
Hoyle Casino	platforms	Mac OS X
Hoyle Casino	platforms	Dreamcast
Hoyle Casino	platforms	Game Boy Color
Wings	platforms	MS-DOS
Gladiators of Rome	platforms	Microsoft Windows
James Bond 007	platforms	Game Boy
Final Fight: Streetwise	platforms	PlayStation 2
Final Fight: Streetwise	platforms	Xbox
Clydebank railway station	platforms	2
Dalmuir railway station	platforms	5
Yoker railway station	platforms	2
7 Colors	platforms	Amiga
7 Colors	platforms	DOS
7 Colors	platforms	NEC PC-9801
World of Illusion Starring Mickey Mouse and Donald Duck	platforms	Sega Genesis
Mahō Gakuen Lunar!	platforms	Sega Saturn
Breakdown	platforms	Xbox
Iggy's Reckin' Balls	platforms	Nintendo 64
WWE Raw 2	platforms	Xbox
Garfield: The Search for Pooky	platforms	Game Boy Advance
Urban Assault	platforms	Microsoft Windows
Mass Effect	platforms	Xbox 360
Mass Effect	platforms	Microsoft Windows
Mass Effect	platforms	PlayStation 3
Berkswell railway station	platforms	2
Zone of the Enders: The Fist of Mars	platforms	Game Boy Advance
New Rally-X	platforms	Arcade game
New Rally-X	platforms	Mobile phone
New Rally-X	platforms	Xbox 360
New Rally-X	platforms	Xbox Live Arcade
Lufia & the Fortress of Doom	platforms	Super Nintendo Entertainment System
Flint railway station	platforms	2
Singer railway station	platforms	2
Exhibition Centre railway station	platforms	2
Anderston railway station	platforms	2
Argyle Street railway station	platforms	2
Front Mission 5: Scars of the War	platforms	PlayStation 2
Mount Florida railway station	platforms	2
Transformers	platforms	PlayStation 2
Challenge of the Ancient Empires!	platforms	MS-DOS
Challenge of the Ancient Empires!	platforms	Macintosh
Mega Man Soccer	platforms	Super Nintendo Entertainment System
Death Gate	platforms	DOS
4D Sports Boxing	platforms	Amiga
4D Sports Boxing	platforms	DOS
4D Sports Boxing	platforms	Atari ST
4D Sports Boxing	platforms	Macintosh
4D Sports Boxing	platforms	Fujitsu FM Towns Marty
The Elder Scrolls: Arena	platforms	MS-DOS
The Elder Scrolls II: Daggerfall	platforms	MS-DOS
Pursuit Force	platforms	PlayStation Portable
Shinobi	platforms	PlayStation 2
Shinobi	platforms	PlayStation Network
Snowboard Kids 2	platforms	Nintendo 64
Frantix	platforms	PlayStation Portable
Skewen railway station	platforms	2
Llansamlet railway station	platforms	2
Neath railway station	platforms	2
Virtua Fighter 3	platforms	Arcade game
Virtua Fighter 3	platforms	Dreamcast
Fire Emblem: Shadow Dragon and the Blade of Light	platforms	Famicom
Postal III	platforms	Microsoft Windows
X-Men: Reign of Apocalypse	platforms	Game Boy Advance
Rugby League	platforms	Microsoft Windows
Rugby League	platforms	PlayStation 2
Rugby League	platforms	Xbox
Pole Position II	platforms	Arcade game
Pole Position II	platforms	Atari 7800
Pole Position II	platforms	Commodore 64
Pole Position II	platforms	Epoch Cassette Vision
Pole Position II	platforms	MS-DOS
Pole Position II	platforms	Mobile Phone
Charlie and the Chocolate Factory video games	platforms	ZX Spectrum
Charlie and the Chocolate Factory video games	platforms	PlayStation 2
Charlie and the Chocolate Factory video games	platforms	Xbox
Charlie and the Chocolate Factory video games	platforms	Microsoft Windows
Charlie and the Chocolate Factory video games	platforms	Game Boy Advance
Charlie and the Chocolate Factory video games	platforms	GameCube
Bonk's Return	platforms	Mobile Phone
Milon no Hoshizora Shabon: Puzzle Kumikyoku	platforms	Nintendo DS
Port Talbot Parkway railway station	platforms	2
Soldiers of Anarchy	platforms	Microsoft Windows
Barbarian	platforms	PlayStation 2
Barbarian	platforms	GameCube
Barbarian	platforms	Xbox
Mortal Kombat: Armageddon	platforms	PlayStation 2
Mortal Kombat: Armageddon	platforms	Wii
Mortal Kombat: Armageddon	platforms	Xbox
Ed, Edd n Eddy: The Mis-Edventures	platforms	Game Boy Advance
Ed, Edd n Eddy: The Mis-Edventures	platforms	Nintendo GameCube
Ed, Edd n Eddy: The Mis-Edventures	platforms	PlayStation 2
Ed, Edd n Eddy: The Mis-Edventures	platforms	Xbox
Ed, Edd n Eddy: The Mis-Edventures	platforms	Microsoft Windows
The Baseball 2003	platforms	PlayStation 2
The Baseball 2003	platforms	GameCube
Children of Mana	platforms	Nintendo DS
Dark Angel	platforms	PlayStation 2
Dark Angel	platforms	Xbox
Crusader of Centy	platforms	Sega Genesis
Word Rescue	platforms	DOS
Baglan railway station	platforms	2
Pyle railway station	platforms	2
Briton Ferry railway station	platforms	2
Pencoed railway station	platforms	2
Pontyclun railway station	platforms	2
Patchway railway station	platforms	2
Redline	platforms	Microsoft Windows
Gothic II	platforms	Microsoft Windows
Batman: Dark Tomorrow	platforms	Xbox
Batman: Dark Tomorrow	platforms	GameCube
Batman: Dark Tomorrow	platforms	PlayStation 2
Drakengard 2	platforms	PlayStation 2
Rise of the Phoenix	platforms	SNES
Rise of the Phoenix	platforms	NEC PC-9801
Rise of the Phoenix	platforms	PlayStation
WRC: Rally Evolved	platforms	PlayStation 2
Pengi	platforms	Acorn Electron
Pengi	platforms	BBC Micro
Leisure Suit Larry: Magna Cum Laude	platforms	Microsoft Windows
Leisure Suit Larry: Magna Cum Laude	platforms	PlayStation 2
Leisure Suit Larry: Magna Cum Laude	platforms	Xbox
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	MS-DOS
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	Amiga
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	Apple II
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	Apple Macintosh
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	Atari ST
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	Apple IIgs
Leisure Suit Larry in the Land of the Lounge Lizards	platforms	TRS-80 Color Computer
Leisure Suit Larry Goes Looking for Love	platforms	MS-DOS
Leisure Suit Larry Goes Looking for Love	platforms	Amiga
Leisure Suit Larry Goes Looking for Love	platforms	Atari ST
Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals	platforms	MS-DOS
Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals	platforms	Amiga
Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals	platforms	Atari ST
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work	platforms	MS-DOS
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work	platforms	Amiga
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work	platforms	Apple Macintosh
Leisure Suit Larry 6: Shape Up or Slip Out!	platforms	MS-DOS
Leisure Suit Larry 6: Shape Up or Slip Out!	platforms	Microsoft Windows
Leisure Suit Larry 6: Shape Up or Slip Out!	platforms	Apple Macintosh
Zoo Tycoon 2	platforms	Microsoft Windows
Zoo Tycoon 2	platforms	Mac OS X
Treforest railway station	platforms	2
Cathcart railway station	platforms	2
King's Park railway station	platforms	2
Crosshill railway station	platforms	2
Queen's Park	platforms	2
Langside railway station	platforms	2
Maryhill railway station	platforms	2
Kelvindale railway station	platforms	1
Romancing SaGa 3	platforms	Super Nintendo Entertainment System
Romancing SaGa 3	platforms	Virtual Console
Anniesland railway station	platforms	3
Westerton railway station	platforms	2
Dolau railway station	platforms	1
Noctropolis	platforms	DOS ; Windows XP/Vista/7
NBA Street Showdown	platforms	PlayStation Portable
Grandia Xtreme	platforms	PlayStation 2
Grandia Xtreme	platforms	PlayStation Network
Grandia III	platforms	PlayStation 2
Grandia III	platforms	PlayStation 3
Grandia Online	platforms	Microsoft Windows
Night Shift	platforms	MS-DOS
Night Shift	platforms	ZX Spectrum
Night Shift	platforms	Amstrad CPC
Night Shift	platforms	Commodore 64
Night Shift	platforms	Commodore Amiga
Night Shift	platforms	Atari ST
Savage: The Battle for Newerth	platforms	Microsoft Windows
Savage: The Battle for Newerth	platforms	Linux
Savage: The Battle for Newerth	platforms	Mac OS X
Nova 9: The Return of Gir Draxon	platforms	Amiga
Nova 9: The Return of Gir Draxon	platforms	DOS
The Thing	platforms	Microsoft Windows
The Thing	platforms	PlayStation 2
The Thing	platforms	Xbox
Mountain Ash railway station	platforms	2
Abercynon North railway station	platforms	1
Taffs Well railway station	platforms	2
Cardiff Bay railway station	platforms	1
Tao Feng: Fist of the Lotus	platforms	Xbox
Romancing SaGa 2	platforms	Super Nintendo Entertainment System
Romancing SaGa 2	platforms	PlayStation Vita
Romancing SaGa 2	platforms	Android
Romancing SaGa 2	platforms	IOS
Australian Rugby League	platforms	Sega Mega Drive
Lagoon	platforms	X68000
Lagoon	platforms	Super Nintendo Entertainment System
SpongeBob SquarePants: Lights, Camera, Pants!	platforms	Xbox
SpongeBob SquarePants: Lights, Camera, Pants!	platforms	PlayStation 2
SpongeBob SquarePants: Lights, Camera, Pants!	platforms	GameCube
SpongeBob SquarePants: Lights, Camera, Pants!	platforms	Game Boy Advance
SpongeBob SquarePants: Lights, Camera, Pants!	platforms	Microsoft Windows
SpongeBob SquarePants: Lights, Camera, Pants!	platforms	Nintendo DS
Motocross Madness 2	platforms	Microsoft Windows
Red Earth	platforms	Arcade game
Skullmonkeys	platforms	PlayStation
Sports Car GT	platforms	Microsoft Windows
Sports Car GT	platforms	PlayStation
Mega Man Zero	platforms	Game Boy Advance
Mega Man Zero	platforms	Virtual Console
Mega Man Battle & Chase	platforms	PlayStation
Mega Man Battle & Chase	platforms	PlayStation 2
Mega Man Battle & Chase	platforms	GameCube
Menston railway station	platforms	2
Burley-in-Wharfedale railway station	platforms	2
Earth Defense Force	platforms	Arcade game
Earth Defense Force	platforms	Super Nintendo Entertainment System
Ben Rhydding railway station	platforms	2
Ilkley railway station	platforms	2
Lufia: The Legend Returns	platforms	Game Boy Color
Fatal Labyrinth	platforms	Sega Genesis
System Rush	platforms	Nokia N-gage
Firebug	platforms	Apple II
Llanelli railway station	platforms	2
Llandrindod railway station	platforms	2
Overboard!	platforms	PlayStation
Overboard!	platforms	Microsoft Windows
Techno Cop	platforms	Amiga
Techno Cop	platforms	Amstrad CPC
Techno Cop	platforms	Apple II
Techno Cop	platforms	Atari ST
Techno Cop	platforms	Commodore 64
Techno Cop	platforms	DOS
Techno Cop	platforms	Sega Genesis
Techno Cop	platforms	ZX Spectrum
Pool of Radiance: Ruins of Myth Drannor	platforms	PC
Lufia: The Ruins of Lore	platforms	Game Boy Advance
Klonoa: Empire of Dreams	platforms	Game Boy Advance
Klonoa: Empire of Dreams	platforms	Virtual Console
Tales of Eternia Online	platforms	Microsoft Windows
Rise and Fall: Civilizations at War	platforms	Microsoft Windows
RF Online	platforms	Microsoft Windows
Galleon	platforms	Xbox
Galleon	platforms	Mobile phone
Apple Panic	platforms	Apple II
Apple Panic	platforms	Atari 8-bit
Apple Panic	platforms	PC booter
Apple Panic	platforms	Commodore VIC-20
Newton-le-Willows railway station	platforms	2
Nintendo World Cup	platforms	Family Computer/NES, Game Boy, Game Boy Advance, Sega Mega Drive, PC Engine, X68000, Wii
Nintendo World Cup	platforms	Game Boy
Nintendo World Cup	platforms	Virtual Console
Nintendo World Cup	platforms	Super CD-ROM², Wii
Nintendo World Cup	platforms	PC Engine
Nintendo World Cup	platforms	Mega Drive
Batman: Rise of Sin Tzu	platforms	Xbox
Batman: Rise of Sin Tzu	platforms	PlayStation 2
Batman: Rise of Sin Tzu	platforms	Game Boy Advance
Batman: Rise of Sin Tzu	platforms	GameCube
Beyblade: Super Tournament Battle	platforms	Nintendo GameCube
Star Trek: Elite Force II	platforms	Microsoft Windows
Star Trek: Elite Force II	platforms	Mac OS X
Exolon	platforms	Amiga
Exolon	platforms	Amstrad CPC
Exolon	platforms	Atari ST
Exolon	platforms	Commodore 64
Exolon	platforms	Enterprise
Exolon	platforms	ZX Spectrum
Kaze no Klonoa: Moonlight Museum	platforms	WonderSwan
Siren	platforms	PlayStation 2
West Hampstead Thameslink railway station	platforms	4
Crouch End railway station	platforms	2
Stroud Green railway station	platforms	2
Cranley Gardens railway station	platforms	2
Muswell Hill railway station	platforms	2
Super Ghouls 'n Ghosts	platforms	Super Nintendo Entertainment System
Super Ghouls 'n Ghosts	platforms	Sega Saturn
Super Ghouls 'n Ghosts	platforms	PlayStation
Super Ghouls 'n Ghosts	platforms	PlayStation 2
Super Ghouls 'n Ghosts	platforms	Xbox
Super Ghouls 'n Ghosts	platforms	Game Boy Advance
Super Ghouls 'n Ghosts	platforms	PlayStation Portable
Super Ghouls 'n Ghosts	platforms	Virtual Console
Super Ghouls 'n Ghosts	platforms	PlayStation 3
Super Ghouls 'n Ghosts	platforms	Nintendo eShop
Klonoa 2: Dream Champ Tournament	platforms	Game Boy Advance
Klonoa 2: Dream Champ Tournament	platforms	Virtual Console
BioMetal	platforms	Super Nintendo Entertainment System
LiberoGrande	platforms	Arcade game
LiberoGrande	platforms	PlayStation
Hamble railway station	platforms	2
Gowerton railway station	platforms	2
